nschools,time
33,0.259338558
72,3.349865893
84,8.395005168
41,0.7378322
72,4.129127436
27,0.113224495
85,6.480494939
17,0.027396737
62,2.326096509
64,2.401354098
91,10.988880508
86,7.883067938
71,3.197761592
39,0.561078668
88,11.082936775
31,0.23561344
85,9.259913873
81,8.812980895
17,0.026252878
55,1.843255937
74,4.98694828
32,0.254229946
32,0.243299233
94,11.12456137
30,0.203367882
52,1.215480544
63,3.567309288
28,0.330548917
43,0.65835096
95,14.009521575
51,1.446152933
83,6.651198118
68,5.032931505
36,0.375930942
51,1.274608645
9,0.009438952
77,5.960643066
78,4.03677882
23,0.077282045
58,2.000219638
53,1.168724167
56,1.241742385
12,0.010239056
79,6.507071527
39,0.463479564
6,0.001206671
2,7.9963e-5
91,8.466055602
51,1.179459891
63,2.349503581
61,2.103730349
58,1.541773911
93,10.709121489
79,5.732739079
97,13.487085813
66,3.019198562
6,0.000713618
76,4.919963042
20,0.040556226
3,0.000399147
80,6.418259503
20,0.017730208
19,0.048459873
49,0.716408383
79,4.399155477
85,7.310270346
50,1.003863948
36,0.356537908
15,0.01088494
38,0.344527909
81,5.432208817
91,9.179423176
71,3.080901732
88,7.595662844
5,0.000628497
91,11.382600405
56,1.8270171
57,1.624010695
15,0.012836086
42,0.436522852
88,7.678361477
81,5.889982193
13,0.005613746
28,0.130757949
63,2.383304122
59,2.011874698
42,0.750784586
49,0.924696835
73,4.354232812
2,4.7952e-5
6,0.000462302
86,8.196778679
18,0.034296221
83,7.917126589
76,4.382250033
75,4.503399918
13,0.008116736
68,3.214669709
28,0.124245743
9,0.0024787
88,9.413583181
44,0.789397074
80,6.34073888
83,9.266012312
77,6.181369242
77,4.723621124
54,1.532579281
56,1.247383629
43,0.52156768
54,1.375421223
32,0.212966164
38,0.406489609
52,1.363608712
78,4.748240423
14,0.018161248
90,9.182683555
19,0.04311993
15,0.042677637
29,0.209063368
56,1.778112195
19,0.036786568
23,0.062767049
16,0.019103528
82,7.013361928
28,0.144003467
61,2.244821113
43,0.619508849
68,2.803172213
74,4.381270762
33,0.285556817
16,0.025835626
23,0.057835637
11,0.005475776
60,1.741326343
13,0.008825165
85,7.005227156
94,8.366402893
5,0.000258108
45,0.735486522
77,3.69761175
97,13.500618143
51,0.866522019
17,0.021446094
98,15.655125603
16,0.025971138
70,3.824351509
43,0.592074025
36,0.266314112
49,1.064755407
91,8.346237593
36,0.378604816
7,0.001580248
87,8.591832962
74,4.737970113
83,5.74813406
5,0.000428659
61,2.149112414
81,5.042124519
14,0.021096784
92,10.447531416
20,0.080803059
30,0.175108902
17,0.021096581
29,0.189471257
60,2.489352892
29,0.146482554
5,0.000863635
7,0.001950457
30,0.091927429
29,0.130915281
17,0.01741209
69,2.845921025
17,0.022461331
69,3.329375831
50,0.98361167
65,2.448553094
10,0.003794695
59,2.288414149
72,4.81633017
88,7.668591319
59,2.075253016
9,0.00361705
60,1.557489836
50,1.099095014
