C,time
70.0,0.001043274
33.0,0.000208161
85.0,0.001998976
148.0,0.008697247
64.0,0.001178509
115.0,0.006022661
74.0,0.001880691
148.0,0.010793372
33.0,0.000258922
75.0,0.001728052
49.0,0.000594442
22.0,0.000111538
123.0,0.007007832
119.0,0.005896295
22.0,0.000107664
46.0,0.000546481
96.0,0.003775382
56.0,0.000712144
120.0,0.005954685
119.0,0.005948767
39.0,0.000371889
88.0,0.002689455
76.0,0.002082211
110.0,0.005570838
111.0,0.005120079
50.0,0.000700523
64.0,0.001376944
20.0,0.000102511
124.0,0.006639206
83.0,0.00233285
120.0,0.006354538
29.0,0.000199015
96.0,0.003301953
94.0,0.003501047
88.0,0.00307629
32.0,0.000245754
76.0,0.001763238
44.0,0.000466163
150.0,0.011186313
66.0,0.001242325
136.0,0.008768572
48.0,0.000591053
139.0,0.009184788
51.0,0.000713153
27.0,0.000151454
45.0,0.000507508
31.0,0.000258052
100.0,0.003895842
32.0,0.000281955
68.0,0.001611163
137.0,0.008743433
76.0,0.001907784
125.0,0.006951162
68.0,0.001379597
36.0,0.000341793
115.0,0.00570649
62.0,0.001115966
133.0,0.008679998
104.0,0.004138743
26.0,0.00018234
84.0,0.002669378
98.0,0.004132431
25.0,0.000146588
33.0,0.000258291
40.0,0.00039095
82.0,0.002225297
109.0,0.005038722
147.0,0.010966235
29.0,0.000197817
26.0,0.000165498
28.0,0.000187425
145.0,0.008104387
47.0,0.000466826
122.0,0.00643625
38.0,0.000302414
123.0,0.006375102
141.0,0.009953152
52.0,0.000727399
70.0,0.001402961
41.0,0.000433305
125.0,0.007424795
87.0,0.002619124
117.0,0.005903838
108.0,0.004783671
49.0,0.000581312
105.0,0.004433754
121.0,0.00627753
33.0,0.000262289
63.0,0.001103267
97.0,0.00390742
131.0,0.00811055
90.0,0.002877654
78.0,0.002251408
89.0,0.002792131
93.0,0.003171262
34.0,0.000314128
66.0,0.001496467
30.0,0.00023695
129.0,0.007675119
41.0,0.000398544
55.0,0.00076644
126.0,0.006896631
